Lesson Program,Name,Description,By-Tool,By-Skill,Language,Domain,Link-Url
SWC,The Unix Shell,"An introduction to working with the shell, for researchers and others who want to learn how to automate repetitive tasks and easily combine smaller tasks into larger, more powerful workflows.",Shell,Automating tasks; Tracking versions,English,General,http://swcarpentry.github.io/shell-novice
SWC,Version Control with Git,"An introduction to working with Git and GitHub, for researchers and others who want to learn how to track versions of their files and collaborate more easily on projects.",Git,Collaborating,English,General,http://swcarpentry.github.io/git-novice
SWC,Programming with Python,"An introduction to Python built around data analysis, for researchers and others who want to learn how to write programs that perform reproducible analyses.",Python,Programming,English,General,http://swcarpentry.github.io/python-novice-inflammation
SWC,Plotting and Programming in Python,An introduction to Python that places an emphasis on working with and visualising tabular data.,Python,Data visualisation; Programming,English,General,http://swcarpentry.github.io/python-novice-gapminder
SWC,Programming with R,"An introduction to R built around data analysis, for researchers and others who want to learn how to write programs that perform reproducible analyses.",R,Programming,English,General,http://swcarpentry.github.io/r-novice-inflammation
SWC,R for Reproducible Scientific Analysis,"An introduction to R that places an emphasis on making data analysis reproducible, using examples of data processing and visualisation.",R,Data visualisation; Programming,English,General,http://swcarpentry.github.io/r-novice-gapminder
SWC,La Terminal de Unix,,,,Spanish,General,http://swcarpentry.github.io/shell-novice-es
SWC,Control de versiones con Git,,,,Spanish,General,http://swcarpentry.github.io/git-novice-es
SWC,R para Análisis Científicos Reproducibles,,,,Spanish,General,http://swcarpentry.github.io/r-novice-gapminder-es
SWC,Automation and Make,"An introduction to automation of analysis workflows with Make, for researchers and others who want to perform multi-step analyses on the command line more reproducibly and efficiently.",Make,Automating tasks,English,General,http://swcarpentry.github.io/make-novice
SWC,Programming with MATLAB,"An introduction to MATLAB built around data analysis, for researchers and others who want to learn how to write programs that perform reproducible analyses.",MATLAB,Data visualisation; Programming,English,General,http://swcarpentry.github.io/matlab-novice-inflammation
SWC,Using Databases and SQL,"An introduction to querying and managing relational databases with SQLite, for researchers and others who want to learn how to access, filter and summarise large vlumes of data.",SQL; SQLite,Accessing data,English,General,http://swcarpentry.github.io/sql-novice-survey
LC,Workshop Overview,A lesson to introduce Library Carpentry and summarise the lessons that can be taught in a workshop.,,,English,Library,https://librarycarpentry.org/lc-overview/
LC,Introduction to Working with Data (Regular Expressions),"An introduction to working with data using regular expressions, for people with library- and information-related roles who want to learn how to perform pattern-based searches in large bodies of text.",Regular expressions,Pattern matching,English,Library,https://librarycarpentry.org/lc-data-intro/
LC,The Unix Shell,"An introduction to working with the shell, for people with library- and information-related roles who want to learn how to work with files and folders and automate repetitive tasks from the command line.",Shell,Automating tasks,English,Library,https://librarycarpentry.org/lc-shell/
LC,OpenRefine,"An introduction to working with data in OpenRefine, for people with library- and information-related roles who want to learn how to clean, filter, and transform large volumes of tabular data.",OpenRefine,,English,Library,https://librarycarpentry.org/lc-open-refine/
LC,Introduction to Git,"An introduction to working with Git and GitHub, for people with library- and information-related roles who want to learn how to track versions of their files and share their work in a public repository.",Git,Tracking versions; Web publishing,English,Library,https://librarycarpentry.org/lc-git/
LC,SQL,"An introduction to relational database management with SQLite, for people with library- and information-related roles who want to learn how to summarise and connect information in large volumes of data.",,,English,Library,https://librarycarpentry.org/lc-sql/
LC,Tidy Data for Librarians,"An exploration of good practices in data organisation and wrangling in spreadsheets, for librarians and those in information-related roles.",,,English,Library,https://librarycarpentry.org/lc-spreadsheets/
LC,Introduction to Webscraping,(will be removed from LC lessons page),,,English,Library,https://librarycarpentry.org/lc-webscraping/
LC,Introduction to Python for Librarians,An introduction to programming in Python for librarians with little or no previous programming experience who want to learn how to write programs that can automate the processing of large volumes of information. (alpha),Python,,English,Library,https://librarycarpentry.org/lc-python-intro/
LC,Introduction to Data for Archivists,"An exploration of good practices and useful skills for working with data, for archivists who want to learn how to work with data and to match patterns in large volumes of text. (alpha)",Regular expressions,,English,Library,https://librarycarpentry.org/lc-data-intro-archives/
LC,Introduction to R for Librarians,An introduction to programming in R for librarians with little or no previous programming experience who want to learn how to write programs to analyse large volumes of data and visualise the results. (alpha),R,,English,Library,https://librarycarpentry.org/lc-r/
DC,Foundations of Astronomical Data Science,"An introduction to core concepts necessary to efficiently study the ever-growing datasets developed in modern astronomy. This curriculum is aimed at researchers and others, who want to perform database operations (SQL queries, joins, filtering) and to create publication-quality visualisations with astronomy data.",Python,Data visualisation; Accessing data; Programming,English,Astronomy,https://datacarpentry.org/astronomy-python/
DC,Ecology Workshop Overview,A lesson to introduce the Data Carpentry Ecology curriculum.,,,English,Ecology,https://datacarpentry.org/ecology-workshop/
DC,Data Organization in Spreadsheets for Ecologists,"An exploration of good practices in data organisation and wrangling in spreadsheets, aimed at ecologists who want to learn how to prepare tabular data for downstream analysis.",Spreadsheets,Data organisation,English,Ecology,https://datacarpentry.org/spreadsheet-ecology-lesson/
DC,Data Cleaning with OpenRefine for Ecologists,"An introduction to the OpenRefine tool, aimed at ecologists who want to clean and format data effectively and automatically track the changes they make.",OpenRefine,,English,Ecology,https://datacarpentry.org/OpenRefine-ecology-lesson/
DC,Data Management with SQL for Ecologists,"An introduction to relational databases and the SQL language that can be used to query them, for ecologists who want to store and access data effectively.",SQL; SQLite,Data visualisation; Accessing data,English,Ecology,https://datacarpentry.org/sql-ecology-lesson/
DC,Data Analysis and Visualization in R for Ecologists,"An introduction to R designed for participants with no programming experience, aimed at ecologists who want to load, process, summarise, and visualise data.",R,Data visualisation; Programming,English,Ecology,https://datacarpentry.org/R-ecology-lesson/
DC,Data Analysis and Visualization in Python for Ecologists,"An introduction to Python designed for participants with no programming experience, aimed at ecologists who want to load, process, summarise, and visualise data.",Python,Data visualisation; Programming,English,Ecology,https://datacarpentry.org/python-ecology-lesson/
DC,Análisis y visualización de datos usando Python,(beta),,,Spanish,Ecology,https://datacarpentry.org/python-ecology-lesson-es/
DC,Genomics Workshop Overview,A lesson to introduce the Data Carpentry Genomics curriculum.,,,English,Genomics,https://datacarpentry.org/genomics-workshop/
DC,Project Organization and Management for Genomics,"An introduction to project and data management, for researchers who want to learn how to access, prepare, organise, and store large volumes of genomic data.",Spreadsheets,Data organisation,English,Genomics,https://datacarpentry.org/organization-genomics
DC,Introduction to the Command Line for Genomics,"An introduction to working with the shell, for researchers who want to learn how to navigate, organise, and process genomic data from the command line.",Shell,Automating tasks,English,Genomics,https://datacarpentry.org/shell-genomics/
DC,Data Wrangling and Processing for Genomics,"A walkthrough of a typical variant calling pipeline, for researchers who want to create a genomics analysis pipeline in the shell.",Shell,Data organisation,English,Genomics,https://datacarpentry.org/wrangling-genomics/
DC,Introduction to Cloud Computing for Genomics,"An introduction to the fundamental concepts of cloud computing, for researchers who want to learn how to access and use on-demand computing resources to fit their needs.",Shell,Accessing remote computers,English,Genomics,https://datacarpentry.org/cloud-genomics
DC,Intro to R and RStudio for Genomics,"An introduction to using R for novice programmers who want to use the language to perform reproducible analyses of tabular genomics data, and visualise the results. (alpha)",R,Data visualisation; Programming,English,Genomics,https://datacarpentry.org/genomics-r-intro/
DC,Geospatial Workshop Overview,A lesson to introduce the Data Carpentry Geospatial curriculum.,,,English,Geospatial,https://datacarpentry.org/geospatial-workshop/
DC,Introduction to Geospatial Concepts,"An overview of the core concepts of geospatial data, for researchers who want to start working with raster or vector data.",,,English,Geospatial,https://datacarpentry.org/organization-geospatial/
DC,Introduction to R for Geospatial Data,An introduction to using R for novice programmers who want to use the language to load and manipulate tabular data.,R,Programming,English,Geospatial,https://datacarpentry.org/r-intro-geospatial
DC,Introduction to Geospatial Raster and Vector Data with R,"An introduction to working with spatial data in R, for researchers and others who want to open, process, summarise, and plot vector and raster-format spatial data.",R,Data visualisation; Programming,English,Geospatial,https://datacarpentry.org/r-raster-vector-geospatial
DC,Social Science Workshop Overview,A lesson to introduce the Data Carpentry Social Science curriculum.,,,English,Social Sciences,https://datacarpentry.org/socialsci-workshop/
DC,Data Organization in Spreadsheets for Social Scientists,"An exploration of good practices in data organisation and wrangling in spreadsheets, aimed at social scientists who want to learn how to prepare tabular data for downstream analysis.",Spreadsheets,Data organisation,English,Social Sciences,https://datacarpentry.org/spreadsheets-socialsci/
DC,Data Cleaning with OpenRefine for Social Scientists,"An introduction to the OpenRefine tool, aimed at social scientists who want to clean and format data effectively and automatically track the changes they make.",OpenRefine,,English,Social Sciences,https://datacarpentry.org/openrefine-socialsci/
DC,Data Analysis and Visualization with R for Social Scientists,"An introduction to R designed for participants with no programming experience, aimed at social scientists who want to load, process, summarise, and visualise data.",R,Programming; Data visualisation,English,Social Sciences,https://datacarpentry.org/r-socialsci/
DC,Data Analysis and Visualization with Python for Social Scientists,"An introduction to Python designed for participants with no programming experience, aimed at social scientists who want to load, process, summarise, and visualise data. (alpha)",Python,Programming; Data visualisation,English,Social Sciences,https://datacarpentry.org/python-socialsci/
DC,Data Management with SQL for Social Scientists,"An introduction to relational databases and the SQL language that can be used to query them, for social scientists who want to store and access data effectively. (alpha)",SQL,,English,Social Sciences,https://datacarpentry.org/sql-socialsci/
DC,Image Processing with Python,"An introduction to the core concepts and fundamental steps of image data processing, for researchers and others who want to use Python to programmatically segment images and extract individual objects for downstream analysis. (beta)",Python,Data visualisation; Image Processing; Programming,English,Imaging,https://datacarpentry.org/image-processing/
DC,Introduction to Stata for Economics,(alpha),,,English,Economics,https://datacarpentry.org/stata-economics/
DC,Introduction to the Command Line for Economics,(alpha),,,English,Economics,https://datacarpentry.org/shell-economics/